id	name	coolTime	category	level	icon	rank	maxStack	rareGrade	requiredEquipmentType	combatItemType	requiredLevel	equipSound	usedSound	artisanable	boundType	buyPrice	changeColorEnable	changeLook	coolTimeGroup	destroyable	dismantlable	dropEffect	dropSound	enchantEnable	extractLook	guildWarehouseStorable	linkCrestId	linkCustomizingId	linkPetAdultId	linkPetOrbId	linkSkillId	masterpieceRate	obtainable	sellPrice	slotLimit	storeSellable	tradable	unidentifiedItemGrade	useOnlyTerritory	warehouseStorable	dropSilhouette	linkEquipmentId	linkLookInfoId	sortingNumber
247500	premium_gacha	0	service	1	Icon_Items.tresurebox2_Tex	0	1000	0	NO_COMBAT	GACHA	1	InterfaceSound.Equip_ItemCUE.Equip_PlateCue	InterfaceSound.UseItem.UseItemCue	False	None	1	False	False	0	False	False	Item_Drop.PS.Item_Drop_OneMoney_PS	InterfaceSound.Drop_ItemCUE.Drop_GoldCue	False	False	False	0	0	0	0	0	0	True	0	0	False	False	0	False	True				
247501	premium_gacha	0	service	1	Icon_Items.tresurebox2_Tex	0	1000	0	NO_COMBAT	GACHA	1	InterfaceSound.Equip_ItemCUE.Equip_PlateCue	InterfaceSound.UseItem.UseItemCue	False	None	1	False	False	0	False	False	Item_Drop.PS.Item_Drop_OneMoney_PS	InterfaceSound.Drop_ItemCUE.Drop_GoldCue	False	False	False	0	0	0	0	0	0	True	0	0	False	False	0	False	True				
247502	premium_gacha	0	service	1	Icon_Items.tresurebox2_Tex	0	1000	0	NO_COMBAT	GACHA	1	InterfaceSound.Equip_ItemCUE.Equip_PlateCue	InterfaceSound.UseItem.UseItemCue	False	None	1	False	False	0	False	False	Item_Drop.PS.Item_Drop_OneMoney_PS	InterfaceSound.Drop_ItemCUE.Drop_GoldCue	False	False	False	0	0	0	0	0	0	True	0	0	False	False	0	False	True				
247503	premium_gacha	0	service	1	Icon_Items.tresurebox2_Tex	0	1000	0	NO_COMBAT	GACHA	1	InterfaceSound.Equip_ItemCUE.Equip_PlateCue	InterfaceSound.UseItem.UseItemCue	False	None	1	False	False	0	False	False	Item_Drop.PS.Item_Drop_OneMoney_PS	InterfaceSound.Drop_ItemCUE.Drop_GoldCue	False	False	False	0	0	0	0	0	0	True	0	0	False	False	0	False	True				
247504	premium_box	1	magical	1	Icon_Items.Gift_Box04_Tex	0	1000	2	NO_COMBAT	DISPOSAL		InterfaceSound.Equip_ItemCUE.Equip_SackCue	InterfaceSound.UseItem.UseItemCue	False	None	0	False	False	31	True	False		InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	19000003	0	True	0	0	False	True	0	False	True	Item_DropBox.SM.Gift_Box03_SM	0	0	0
247505	premium_box	1	magical	1	Icon_Items.Gift_Box04_Tex	0	1000	2	NO_COMBAT	DISPOSAL		InterfaceSound.Equip_ItemCUE.Equip_SackCue	InterfaceSound.UseItem.UseItemCue	False	None	0	False	False	31	True	False		InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	19000004	0	True	0	0	False	True	0	False	True	Item_DropBox.SM.Gift_Box03_SM	0	0	0
247506	premium_box	1	magical	1	Icon_Items.Gift_Box04_Tex	0	1000	2	NO_COMBAT	DISPOSAL		InterfaceSound.Equip_ItemCUE.Equip_SackCue	InterfaceSound.UseItem.UseItemCue	False	None	0	False	False	31	True	False		InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	19000005	0	True	0	0	False	True	0	False	True	Item_DropBox.SM.Gift_Box03_SM	0	0	0
247507	premium_box	1	magical	1	Icon_Items.Gift_Box04_Tex	0	1000	2	NO_COMBAT	DISPOSAL		InterfaceSound.Equip_ItemCUE.Equip_SackCue	InterfaceSound.UseItem.UseItemCue	False	None	0	False	False	31	True	False		InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	19000006	0	True	0	0	False	True	0	False	True	Item_DropBox.SM.Gift_Box03_SM	0	0	0
247508	premium_box	1	magical	1	Icon_Items.Gift_Box04_Tex	0	1000	2	NO_COMBAT	DISPOSAL		InterfaceSound.Equip_ItemCUE.Equip_SackCue	InterfaceSound.UseItem.UseItemCue	False	None	0	False	False	31	True	False		InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	19000007	0	True	0	0	False	True	0	False	True	Item_DropBox.SM.Gift_Box03_SM	0	0	0
247509	premium_box	1	magical	1	Icon_Items.Gift_Box04_Tex	0	1000	2	NO_COMBAT	DISPOSAL		InterfaceSound.Equip_ItemCUE.Equip_SackCue	InterfaceSound.UseItem.UseItemCue	False	None	0	False	False	31	True	False		InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	19000008	0	True	0	0	False	True	0	False	True	Item_DropBox.SM.Gift_Box03_SM	0	0	0
