id	name	coolTime	category	level	icon	rank	maxStack	rareGrade	requiredEquipmentType	combatItemType	requiredLevel	equipSound	usedSound	artisanable	boundType	buyPrice	changeColorEnable	changeLook	coolTimeGroup	destroyable	dismantlable	dropSilhouette	dropSound	enchantEnable	extractLook	guildWarehouseStorable	linkCrestId	linkCustomizingId	linkEquipmentId	linkLookInfoId	linkPetAdultId	linkPetOrbId	linkSkillId	masterpieceRate	obtainable	sellPrice	slotLimit	sortingNumber	storeSellable	tradable	unidentifiedItemGrade	useOnlyTerritory	warehouseStorable	requiredGender	requiredRace	requiredClass	dropEffect	periodInMinute	periodItemCategoryId	requiredMaxLevel	requiredUserStatus	itemMixId	enchantEquipType	linkPassivityCategoryId	combatItemArg1	ridingUseable	isReputation	linkSocialId	linkSkillPeriodDay	combatItemArg3	styleCostumeId	mediate	accessoryColorId	awakenable	dropIdentify	equipmentSetId	itemLevelGageOn	linkEnchantId	linkMasterpieceEnchantId	linkMasterpiecePassivityCategoryId	linkMasterpiecePassivityId	linkPassivityId	masterpieceBasicStatRevise	combatItemArg4	customizingString	preSetEnchant
100001	etc_item_3	1	magical	1	Icon_Items.presentbox1_Tex	0	1000	1	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_SackCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Gift_Box01_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410904	0	True	50000	0	0	False	False	0	False	False																																	
100002	etc_item_3	1	magical	1	Icon_Items.Gift_Box01_Tex	0	1000	1	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Gift_Box01_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410905	0	True	50000	0	0	False	False	0	False	False																																	
100003	etc_item_3	1	magical	1	Icon_Items.tresurebox1_Tex	0	1000	3	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_TreasureBoxCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	DropItem.SM.Item_Drop_Chest_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410906	0	True	50000	0	0	False	False	0	False	False																																	
100004	etc_item_3	1	magical	1	Icon_Items.Event_Egg_Silver_Tex	0	1000	0	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_NormalCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Drop_EventEgg02_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410907	0	True	50000	0	0	False	False	0	False	False																																	
100005	etc_item_3	1	magical	1	Icon_Items.Gift_Box03_Tex	0	1000	2	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_TreasureBoxCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Gift_Box03_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410908	0	True	50000	0	0	False	False	0	False	False																																	
100006	etc_item_3	1	magical	1	Icon_Items.Gift_Box04_Tex	0	1000	1	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_TreasureBoxCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Gift_Box04_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410909	0	True	50000	0	0	False	False	0	False	False																																	
100007	etc_item_3	1	magical	1	Icon_Items.Gift_Box05_Tex	0	1000	1	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_TreasureBoxCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Gift_Box05_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410910	0	True	50000	0	0	False	False	0	False	False																																	
100008	etc_item_3	1	magical	1	Icon_Items.GachaBox_Tex	0	1000	1	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_TreasureBoxCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Drop_EventEgg01_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410911	0	True	50000	0	0	False	False	0	False	False																																	
100009	etc_item_3	1	magical	1	Icon_Items.Gift_Box03_Tex	0	1000	1	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_TreasureBoxCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Gift_Box03_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	0	0	0	0	60410912	0	True	50000	0	0	False	False	0	False	False																																	
100010	etc_item_3	1	magical	1	Icon_Items.PremiumBox_Etc2_Tex	0	1000	1	NO_COMBAT	DISPOSAL	1	InterfaceSound.Equip_ItemCUE.Equip_TreasureBoxCue	InterfaceSound.UseItem.UseItemCue	False	None	500000	False	False	31	True	False	Item_DropBox.SM.Gift_Box02_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	0	0	0	0	60410913	0	True	50000	0	0	False	True	0	False	True																																	
