id	name	coolTime	category	level	icon	rank	maxStack	rareGrade	requiredEquipmentType	combatItemType	requiredLevel	equipSound	artisanable	boundType	buyPrice	changeColorEnable	changeLook	coolTimeGroup	destroyable	dismantlable	dropSilhouette	dropSound	enchantEnable	extractLook	guildWarehouseStorable	linkCrestId	linkCustomizingId	linkEquipmentId	linkLookInfoId	linkPetAdultId	linkPetOrbId	linkSkillId	masterpieceRate	obtainable	periodInMinute	periodItemCategoryId	requiredClass	sellPrice	slotLimit	sortingNumber	storeSellable	tradable	unidentifiedItemGrade	useOnlyTerritory	warehouseStorable	requiredGender	requiredRace	accessoryColorId	usedSound	dropEffect	linkPassivityId	styleCostumeId	customizingString	awakenable	dropIdentify	equipmentSetId	linkEnchantId	linkMasterpieceEnchantId	linkMasterpiecePassivityId	masterpieceBasicStatRevise	unbindCount	unbindEnchant	linkSkillPeriodDay	requiredUserStatus	requiredMaxLevel	enchantEquipType	linkPassivityCategoryId	linkChangeColorListId	combatItemArg1	combatItemArg3	combatItemArg4	itemLevelGageOn	linkMasterpiecePassivityCategoryId	itemMixId
220000	premium_weapon	0	style_dual	1	Icon_Equipments.Event_Season_Dual_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_DualCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Dual_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608090	0	0	0	0	True	-1	0	WARRIOR	0	0	0	False	True	0	False	True																													
220001	premium_weapon	0	style_lance	1	Icon_Equipments.Event_Season_Lance_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_LanceCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Lance_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608091	0	0	0	0	True	-1	0	LANCER	0	0	0	False	True	0	False	True																													
220002	premium_weapon	0	style_twohand	1	Icon_Equipments.Event_Season_Twohand_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_TwoHandCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_TwoH_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608092	0	0	0	0	True	-1	0	SLAYER	0	0	0	False	True	0	False	True																													
220003	premium_weapon	0	style_axe	1	Icon_Equipments.Event_Season_Axe_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_AxeCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Axe_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608093	0	0	0	0	True	-1	0	BERSERKER	0	0	0	False	True	0	False	True																													
220004	premium_weapon	0	style_circle	1	Icon_Equipments.Event_Season_Circle_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_CircleCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Circle_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608094	0	0	0	0	True	-1	0	SORCERER	0	0	0	False	True	0	False	True																													
220005	premium_weapon	0	style_bow	1	Icon_Equipments.Event_Season_Bow_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_BowCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Bow_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608095	0	0	0	0	True	-1	0	ARCHER	0	0	0	False	True	0	False	True																													
220006	premium_weapon	0	style_staff	1	Icon_Equipments.Event_Season_Staff_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_StaffCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Staff_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608096	0	0	0	0	True	-1	0	PRIEST	0	0	0	False	True	0	False	True																													
220007	premium_weapon	0	style_rod	1	Icon_Equipments.Event_Season_Rod_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_RodCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Rod_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	True	0	0	60000002	608097	0	0	0	0	True	-1	0	ELEMENTALIST	0	0	0	False	True	0	False	True																													
220008	premium_weapon	0	style_dual	1	Icon_Equipments.Event_Silver_Dual_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_DualCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Dual_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608098	0	0	0	0	True	-1	0	WARRIOR	0	0	0	False	False	0	False	True																													
220009	premium_weapon	0	style_lance	1	Icon_Equipments.Event_Silver_Lance_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_LanceCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Lance_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608099	0	0	0	0	True	-1	0	LANCER	0	0	0	False	False	0	False	True																													
220010	premium_weapon	0	style_twohand	1	Icon_Equipments.Event_Silver_Twohand_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_TwoHandCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_TwoH_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608106	0	0	0	0	True	-1	0	SLAYER	0	0	0	False	False	0	False	True																													
220011	premium_weapon	0	style_axe	1	Icon_Equipments.Event_Silver_Axe_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_AxeCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Axe_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608101	0	0	0	0	True	-1	0	BERSERKER	0	0	0	False	False	0	False	True																													
220012	premium_weapon	0	style_circle	1	Icon_Equipments.Event_Silver_Circle_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_CircleCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Circle_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608102	0	0	0	0	True	-1	0	SORCERER	0	0	0	False	False	0	False	True																													
220013	premium_weapon	0	style_bow	1	Icon_Equipments.Event_Silver_Bow_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_BowCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Bow_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608103	0	0	0	0	True	-1	0	ARCHER	0	0	0	False	False	0	False	True																													
220014	premium_weapon	0	style_staff	1	Icon_Equipments.Event_Silver_Staff_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_StaffCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Staff_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608104	0	0	0	0	True	-1	0	PRIEST	0	0	0	False	False	0	False	True																													
220015	premium_weapon	0	style_rod	1	Icon_Equipments.Event_Silver_Rod_01_Tex	0	1	3	NO_COMBAT	EQUIP_STYLE_WEAPON	1	InterfaceSound.Equip_ArmorWeaponCUE.Equip_RodCue	False	Equip	0	False	False	0	True	False	Item_DropBox.SM.Drop_Rod_SM	InterfaceSound.Drop_ItemCUE.Drop_ChestBoxCue	False	False	False	0	0	60000002	608105	0	0	0	0	True	-1	0	ELEMENTALIST	0	0	0	False	False	0	False	True																													
