id	name	level	value1	value2	value3	value4	skillCategoryId	sortNum	spendEp	usableClass	userLevel	epLevel	spentEp	totalEp	perkId	perkLevel	id2	prob
101010	?? ?? ??? ??? 1	1	5				0	4	1	Common	1	0	0	5			81010100	1
101010	?? ?? ??? ??? 2	2	6				0	4	1	Common	1	0	0	5			81010100	1
101010	?? ?? ??? ??? 3	3	7				0	4	2	Common	1	0	0	5			81010100	1
101010	?? ?? ??? ??? 4	4	8				0	4	2	Common	1	0	0	10			81010100	1
101010	?? ?? ??? ??? 5	5	9				0	4	3	Common	1	0	0	10			81010100	1
101010	?? ?? ??? ??? 6	6	10				0	4	3	Common	1	0	0	10			81010100	1
101010	?? ?? ??? ??? 7	7	11				0	4	4	Common	1	0	0	15			81010100	1
101010	?? ?? ??? ??? 8	8	12				0	4	4	Common	1	0	0	15			81010100	1
101010	?? ?? ??? ??? 9	9	13				0	4	5	Common	1	0	0	15			81010100	1
101010	?? ?? ??? ??? 10	10	14				0	4	5	Common	1	0	0	20			81010100	1
101020	?? ?? ??? ??? 1	1	30	5			0	3	1	Common	1	0	0	3			81010200	1
101020	?? ?? ??? ??? 2	2	40	5			0	3	1	Common	1	0	0	3			81010200	1
101020	?? ?? ??? ??? 3	3	50	5			0	3	2	Common	1	0	0	6			81010200	1
101020	?? ?? ??? ??? 4	4	60	5			0	3	2	Common	1	0	0	6			81010200	1
101020	?? ?? ??? ??? 5	5	70	5			0	3	3	Common	1	0	0	9			81010200	1
101020	?? ?? ??? ??? 6	6	80	6			0	3	3	Common	1	0	0	9			81010200	1
101020	?? ?? ??? ??? 7	7	90	7			0	3	4	Common	1	0	0	12			81010200	1
101020	?? ?? ??? ??? 8	8	100	8			0	3	4	Common	1	0	0	12			81010200	1
101020	?? ?? ??? ??? 9	9	110	9			0	3	5	Common	1	0	0	15			81010200	1
101020	?? ?? ??? ??? 10	10	120	10			0	3	5	Common	1	0	0	15			81010200	1
102010	?? ?? ??? 1	1	5				0	5	1	Common	40	0	0	9			81020100	1
102010	?? ?? ??? 2	2	6				0	5	2	Common	40	0	0	14			81020100	1
102010	?? ?? ??? 3	3	7				0	5	3	Common	40	0	0	19			81020100	1
102010	?? ?? ??? 4	4	8				0	5	4	Common	40	0	0	24			81020100	1
102010	?? ?? ??? 5	5	9				0	5	5	Common	40	0	0	29			81020100	1
102010	?? ?? ??? 6	6	10				0	5	5	Common	40	0	0	34			81020100	1
102010	?? ?? ??? 7	7	11				0	5	5	Common	40	0	0	39			81020100	1
111000	?? ?? ??? ?? 1	1	2				0	1	1	Common	1	0	0	1			81110000	1
111000	?? ?? ??? ?? 2	2	3				0	1	1	Common	8	0	0	8			81110000	1
111000	?? ?? ??? ?? 3	3	4				0	1	2	Common	15	0	0	15			81110000	1
111000	?? ?? ??? ?? 4	4	5				0	1	2	Common	22	0	0	22			81110000	1
111000	?? ?? ??? ?? 5	5	6				0	1	3	Common	29	0	0	29			81110000	1
111000	?? ?? ??? ?? 6	6	7				0	1	3	Common	37	0	0	36			81110000	1
111000	?? ?? ??? ?? 7	7	8				0	1	4	Common	44	0	0	43			81110000	1
111000	?? ?? ??? ?? 8	8	9				0	1	4	Common	51	0	0	50			81110000	1
111000	?? ?? ??? ?? 9	9	10				0	1	5	Common	58	0	0	57			81110000	1
111000	?? ?? ??? ?? 10	10	12				0	1	5	Common	65	0	0	64			81110000	1
111000	?? ?? ??? ?? 11	11	13				0	1	5	Common	65	0	0	71			81110000	1
111000	?? ?? ??? ?? 12	12	14				0	1	5	Common	65	0	0	78			81110000	1
111000	?? ?? ??? ?? 13	13	15				0	1	5	Common	65	0	0	85			81110000	1
111000	?? ?? ??? ?? 14	14	16				0	1	5	Common	65	0	0	92			81110000	1
111000	?? ?? ??? ?? 15	15	17				0	1	5	Common	65	0	0	99			81110000	1
111000	?? ?? ??? ?? 16	16	18				0	1	5	Common	65	0	0	106			81110000	1
111000	?? ?? ??? ?? 17	17	19				0	1	5	Common	65	0	0	113			81110000	1
111000	?? ?? ??? ?? 18	18	20				0	1	5	Common	65	0	0	120			81110000	1
111000	?? ?? ??? ?? 19	19	21				0	1	5	Common	65	0	0	127			81110000	1
111000	?? ?? ??? ?? 20	20	23				0	1	5	Common	65	0	0	134			81110000	1
112000	?? ?? ??? ?? 1	1	2				0	2	1	Common	1	0	0	2			81120000	1
112000	?? ?? ??? ?? 2	2	3				0	2	1	Common	8	0	0	9			81120000	1
112000	?? ?? ??? ?? 3	3	4				0	2	1	Common	15	0	0	16			81120000	1
112000	?? ?? ??? ?? 4	4	5				0	2	2	Common	22	0	0	23			81120000	1
112000	?? ?? ??? ?? 5	5	6				0	2	2	Common	29	0	0	30			81120000	1
112000	?? ?? ??? ?? 6	6	7				0	2	2	Common	37	0	0	37			81120000	1
112000	?? ?? ??? ?? 7	7	8				0	2	3	Common	44	0	0	44			81120000	1
112000	?? ?? ??? ?? 8	8	9				0	2	3	Common	51	0	0	51			81120000	1
112000	?? ?? ??? ?? 9	9	10				0	2	3	Common	58	0	0	58			81120000	1
112000	?? ?? ??? ?? 10	10	12				0	2	4	Common	65	0	0	65			81120000	1
112000	?? ?? ??? ?? 11	11	13				0	2	4	Common	65	0	0	72			81120000	1
112000	?? ?? ??? ?? 12	12	14				0	2	4	Common	65	0	0	79			81120000	1
112000	?? ?? ??? ?? 13	13	15				0	2	5	Common	65	0	0	86			81120000	1
112000	?? ?? ??? ?? 14	14	16				0	2	5	Common	65	0	0	93			81120000	1
112000	?? ?? ??? ?? 15	15	17				0	2	5	Common	65	0	0	100			81120000	1
112000	?? ?? ??? ?? 16	16	18				0	2	5	Common	65	0	0	107			81120000	1
112000	?? ?? ??? ?? 17	17	19				0	2	5	Common	65	0	0	114			81120000	1
112000	?? ?? ??? ?? 18	18	20				0	2	5	Common	65	0	0	121			81120000	1
112000	?? ?? ??? ?? 19	19	21				0	2	5	Common	65	0	0	128			81120000	1
112000	?? ?? ??? ?? 20	20	23				0	2	5	Common	65	0	0	135			81120000	1
112010	?? ?? ???? ?? 1	1	30	15	30	5	0	6	2	Common	20	0	0	11			81120100	0,3
112010	?? ?? ???? ?? 1	1	30	15	30	5	0	6	2	Common	20	0	0	11			81120110	0,3
112010	?? ?? ???? ?? 1	1	30	15	30	5	0	6	2	Common	20	0	0	11			81120120	0,3
112010	?? ?? ???? ?? 2	2	35	15	30	5	0	6	2	Common	20	0	0	16			81120100	0,3
112010	?? ?? ???? ?? 2	2	35	15	30	5	0	6	2	Common	20	0	0	16			81120110	0,3
112010	?? ?? ???? ?? 2	2	35	15	30	5	0	6	2	Common	20	0	0	16			81120120	0,3
112010	?? ?? ???? ?? 3	3	40	15	30	5	0	6	2	Common	20	0	0	21			81120100	0,3
112010	?? ?? ???? ?? 3	3	40	15	30	5	0	6	2	Common	20	0	0	21			81120110	0,3
112010	?? ?? ???? ?? 3	3	40	15	30	5	0	6	2	Common	20	0	0	21			81120120	0,3
112010	?? ?? ???? ?? 4	4	45	20	30	5	0	6	2	Common	20	0	0	26			81120100	0,3
112010	?? ?? ???? ?? 4	4	45	20	30	5	0	6	2	Common	20	0	0	26			81120110	0,3
112010	?? ?? ???? ?? 4	4	45	20	30	5	0	6	2	Common	20	0	0	26			81120120	0,3
112010	?? ?? ???? ?? 5	5	50	25	30	5	0	6	2	Common	20	0	0	31			81120100	0,3
112010	?? ?? ???? ?? 5	5	50	25	30	5	0	6	2	Common	20	0	0	31			81120110	0,3
112010	?? ?? ???? ?? 5	5	50	25	30	5	0	6	2	Common	20	0	0	31			81120120	0,3
112010	?? ?? ???? ?? 6	6	50	30	35	5	0	6	3	Common	20	0	0	36			81120100	0,35
112010	?? ?? ???? ?? 6	6	50	30	35	5	0	6	3	Common	20	0	0	36			81120110	0,35
112010	?? ?? ???? ?? 6	6	50	30	35	5	0	6	3	Common	20	0	0	36			81120120	0,35
112010	?? ?? ???? ?? 7	7	50	30	40	5	0	6	3	Common	20	0	0	41			81120100	0,4
112010	?? ?? ???? ?? 7	7	50	30	40	5	0	6	3	Common	20	0	0	41			81120110	0,4
112010	?? ?? ???? ?? 7	7	50	30	40	5	0	6	3	Common	20	0	0	41			81120120	0,4
112010	?? ?? ???? ?? 8	8	50	30	45	5	0	6	3	Common	20	0	0	46			81120100	0,45
112010	?? ?? ???? ?? 8	8	50	30	45	5	0	6	3	Common	20	0	0	46			81120110	0,45
112010	?? ?? ???? ?? 8	8	50	30	45	5	0	6	3	Common	20	0	0	46			81120120	0,45
112010	?? ?? ???? ?? 9	9	50	30	50	5	0	6	3	Common	20	0	0	51			81120100	0,5
112010	?? ?? ???? ?? 9	9	50	30	50	5	0	6	3	Common	20	0	0	51			81120110	0,5
112010	?? ?? ???? ?? 9	9	50	30	50	5	0	6	3	Common	20	0	0	51			81120120	0,5
112010	?? ?? ???? ?? 10	10	55	35	50	5	0	6	3	Common	20	0	0	56			81120100	0,5
112010	?? ?? ???? ?? 10	10	55	35	50	5	0	6	3	Common	20	0	0	56			81120110	0,5
112010	?? ?? ???? ?? 10	10	55	35	50	5	0	6	3	Common	20	0	0	56			81120120	0,5
112010	?? ?? ???? ?? 11	11	66	36	50	6	0	6	4	Common	20	0	0	66			81120100	0,5
112010	?? ?? ???? ?? 11	11	66	36	50	6	0	6	4	Common	20	0	0	66			81120110	0,5
112010	?? ?? ???? ?? 11	11	66	36	50	6	0	6	4	Common	20	0	0	66			81120120	0,5
112010	?? ?? ???? ?? 12	12	72	36	50	6	0	6	4	Common	20	0	0	76			81120100	0,5
112010	?? ?? ???? ?? 12	12	72	36	50	6	0	6	4	Common	20	0	0	76			81120110	0,5
112010	?? ?? ???? ?? 12	12	72	36	50	6	0	6	4	Common	20	0	0	76			81120120	0,5
112010	?? ?? ???? ?? 13	13	78	42	50	6	0	6	4	Common	20	0	0	86			81120100	0,5
112010	?? ?? ???? ?? 13	13	78	42	50	6	0	6	4	Common	20	0	0	86			81120110	0,5
